credit_score_tier,customer_value_tier,churn_rate
Excellent,High,0.24545454545454545
Excellent,Low,0.13761467889908258
Excellent,Medium,0.20588235294117646
Excellent,Premium,0.21543408360128619
Fair,High,0.2378167641325536
Fair,Low,0.14321819713563605
Fair,Medium,0.2916666666666667
Fair,Premium,0.2401500938086304
Good,High,0.21631530705774518
Good,Low,0.1281767955801105
Good,Medium,0.20634920634920634
Good,Premium,0.23577235772357724
Poor,High,0.27169811320754716
Poor,Low,0.14302059496567507
Poor,Medium,0.2830188679245283
Poor,Premium,0.24533333333333332
