,customer_id,churn,country_Germany,country_France,country_Spain,gender_Female,gender_Male,age_bin_18_24,age_bin_25_29,age_bin_30_34,age_bin_35_39,age_bin_40_44,age_bin_45_49,age_bin_50_59,age_bin_60+,balance_tier_Zero,balance_tier_Low,balance_tier_Medium,balance_tier_High,balance_tier_Premium,balance_tier_Ultra,salary_tier_Low,salary_tier_Lower_Mid,salary_tier_Mid,salary_tier_Upper_Mid,salary_tier_High,credit_score_tier_Poor,credit_score_tier_Fair,credit_score_tier_Good,credit_score_tier_Excellent,customer_value_tier_Low,customer_value_tier_Medium,customer_value_tier_High,customer_value_tier_Premium,log_balance_scaled,log_salary_scaled,wealth_index_scaled,balance_to_salary_ratio_capped_scaled,tenure_tier_New,tenure_tier_Growing,tenure_tier_Established,tenure_tier_Mature,tenure_tier_Veteran,is_active_member,has_credit_card,has_single_product,has_multiple_products,products_per_year_capped_scaled,germany_poor_credit,germany_high_value,female_45_plus,male_young,active_multiple_products,inactive_single_product,zero_balance_active,zero_balance_multiple_products,poor_credit_high_value,excellent_credit_low_value,composite_risk_score_scaled,geographic_risk_score,demographic_risk_score,engagement_risk_score,credit_risk_score,is_zero_balance,is_high_balance,products_3_plus
customer_id,1.0,-0.006247986637827078,-0.003096858226527104,-0.004049209673181163,0.007800239710927302,0.0026411627314491216,-0.002641162731449129,-0.008675074721434358,-0.005733409867647877,-0.0016415583899072332,0.006323309186768254,-0.006983684718213571,0.010040536611919967,0.0036862688459403173,0.0013085595623652526,0.01055927608996031,0.020544325674042498,-0.014101226371034373,0.012028244239691283,-0.013018970563771243,-0.008066393160068209,-0.017092212257389935,0.0009764360539515586,0.008163654170010637,-0.0003935294693069701,0.009187410843736993,-0.00512420099786267,0.0004454458513542356,-0.0008044750275739853,0.005917270049474527,0.011285866876042253,-0.010762689073670496,-0.007946277533189076,0.0003293526109915659,-0.010836398796357862,0.0188755580993541,-0.010493799627250644,-0.01678335179844405,0.0072848759746703285,0.026144062774979212,-0.02560203098921591,-0.0007558225767287916,-0.0059740931762321614,0.0016649648401758502,-0.01402513032557391,-0.018501263505390726,0.018501263505390775,0.020276304129995423,0.0053580800923083245,-0.003909791139379835,0.003315640638526131,-0.01140898627606557,0.016099001803665067,-0.006979115557399477,0.006904355306097563,0.008104672038643903,-0.005253552190323209,0.0012498798527652412,-0.008779230464970346,-0.003096858226527104,0.008230495238270132,-0.01410500424897113,-0.005223577711361361,0.01055927608996031,-0.017444046341406602,0.010225993611879253
churn,-0.006247986637827078,1.0,0.17348787015297085,-0.10495515555438105,-0.05266676206212404,0.10651248767347476,-0.10651248767347467,-0.06312271253422934,-0.12079639694347302,-0.15356684334683213,-0.0961364277990839,0.03672745500408996,0.18461723655501497,0.273235627466576,0.04432781272884209,-0.12235727218477076,0.028165781344647842,0.023829920515972342,-0.0051214460533648126,0.10564175096171934,0.02233869986606081,-0.0061608808764579085,0.005598048522530651,-0.015141396421775534,-0.002918111996179495,0.014056714804578032,0.02271673206444701,0.003411209139683054,-0.024659192875446653,-0.001749418651541455,-0.12213438570024537,0.01816464770150138,0.08727139859178114,0.03432356674345894,0.12262952546121407,0.007790680334310955,0.12270014231254539,0.07895337240256964,0.022608567099641902,-0.0030780270798655626,0.002728425222189427,-0.020740530346200367,0.0011204211371342225,-0.15612827818890548,-0.0071377656030390145,0.18544672657041172,-0.18544672657041184,-0.010004776153932292,0.09236342536022048,0.18328127311282175,0.27480303794525424,-0.18173714253357143,-0.15713440399994394,0.23471551232862284,-0.12825432799111064,-0.21805456249072555,0.06210535374633722,-0.04340573533443117,0.3348617058871062,0.17348787015297085,0.28625834206672024,0.23888197319403878,0.026357897527423145,-0.12235727218477076,0.11601909776338289,0.2986365283847086
country_Germany,-0.003096858226527104,0.17348787015297085,1.0,-0.5803586473920972,-0.3320839640331286,0.024627879392114634,-0.024627879392114648,-0.020612046024801576,-0.015039796580150276,-0.02824975491950216,-0.024129939275770125,0.019926933485260416,0.040135913809602124,0.04828657179851318,-0.00927208140531233,-0.43565456013017945,-0.014180331535811948,0.004703329961359618,0.09369058323250831,0.3279058452545537,0.055266352505061685,0.00029072570085083356,0.005965051241003264,-0.02020089968738363,-0.004250683009138132,0.012465021541073788,-0.009028852308341506,0.012358324547948047,-0.02108007708673655,0.018044686565485427,-0.4359376493008206,0.006732353659512956,0.3354226638999674,0.1133288827272541,0.43597916155051664,0.0045408972305664,0.4358173181989503,0.2684665790890637,0.0037341573691694126,0.011355206805547495,-0.006371416957758672,-0.02802054842698204,0.018114546793837054,-0.020485800270395753,0.01057658071380352,0.03387750897877251,-0.033877508978772515,0.002426612146214487,0.4271822224543587,0.8289682552145224,0.04825617948031486,-0.03358907290029325,-0.015973161564646184,0.04647140646123852,-0.277833231928104,-0.3530377062325606,0.1355095355639072,-0.1530933822617477,0.6715776135682832,1.0,0.05850207831213444,0.038020179398624086,-0.002326447265386712,-0.43565456013017945,0.35178438300959275,0.04962566286921232
country_France,-0.004049209673181163,-0.10495515555438105,-0.5803586473920972,1.0,-0.5754180754084717,-0.006772454170695445,0.00677245417069545,0.00752774211793686,0.02187842699144717,0.03532432672730921,-0.00010974430381906124,-0.011168195413324656,-0.034064454665536,-0.038139162720135816,0.009195426003028261,0.25159122405369344,0.008098841851588696,0.005806798000702074,-0.06124464717738836,-0.18282123648042725,-0.03641168870093954,-0.0036880677688454614,0.010649174220367725,0.0043425120984184285,-0.0022697343167274162,-0.005469283045361923,0.016806892022831834,-0.020861999606067102,0.01054206929017886,-0.00467479822121717,0.25175240734548177,-0.0017793714872402922,-0.19729090629654344,-0.06141005202864509,-0.2517247621266228,-0.003937018852653862,-0.25165476833776557,-0.15728721026717268,0.004531316952687403,-0.007609795024614576,-0.003150121856754197,0.027379308781724062,-0.018939042307527052,0.0033169659444571083,0.0024672242386179883,-0.014049077810493684,0.014049077810493658,0.00348022651709873,-0.2479188968135609,-0.4810988953272833,-0.03895177503071423,0.030742781476294466,0.014784811073594415,-0.0050801366688968345,0.16448918580405616,0.20163114968111584,-0.0704596804699179,0.09067239911206391,-0.38402448976797743,-0.5803586473920972,-0.03746147922596432,-0.012146036847148003,0.0056038304074230265,0.25159122405369344,-0.19944944551489077,-0.03430033993889234
country_Spain,0.007800239710927302,-0.05266676206212404,-0.3320839640331286,-0.5754180754084717,1.0,-0.016889348835205154,0.016889348835205178,0.011981436510712509,-0.010236717055700735,-0.012543990737932368,0.02436071289980288,-0.0070767533403513,-0.000852501925096068,-0.004318562764468752,-0.001338871635861487,0.14611555381386399,0.004860604313680937,-0.011449374350683017,-0.02315523884515337,-0.1175581660382231,-0.013329209142951728,0.003979803225604428,-0.018325294458104862,0.015257879957353844,0.006897908493507418,-0.006183664293864118,-0.01039927755301938,0.011752411217870488,0.00896007378293245,-0.012707526921384766,0.14621316535666398,-0.004700282838443866,-0.10834749337275175,-0.042686319291401854,-0.14628687656402045,-2.7412282126838407e-07,-0.1462054096459244,-0.08743884780262898,-0.00899868698160371,-0.0025897913113200723,0.010047479310455052,-0.0035717067988343602,0.0037441572028199806,0.016731863681874314,-0.013479728330052086,-0.01775041993683896,0.017750419936839023,-0.006468078253196456,-0.14186036579712477,-0.27528706424926447,-0.0033468155098344693,-0.0018750695899090394,-0.0010830206697968713,-0.04078687419028612,0.08850390752841267,0.12101103514204711,-0.05448034610284967,0.04872794801169084,-0.2296586475240951,-0.3320839640331285,-0.01536289458538398,-0.024115121957416333,-0.004154306565565396,0.14611555381386399,-0.12227933000284097,-0.010109799303430386
gender_Female,0.0026411627314491216,0.10651248767347476,0.024627879392114634,-0.006772454170695445,-0.016889348835205154,1.0,-0.9999999999999997,-0.004438458959581577,0.005662408265257258,-0.026356853967148264,-0.017886603151924602,-2.362239472140596e-05,0.03960643135050704,0.018689784461241178,0.001833744776226195,0.004512986735981615,0.01045066575108828,0.0185686083373088,0.006991831701326833,-0.006597621648543577,-0.011009924164926759,-0.003453219320662073,-0.011166519649998435,-0.013310397512442887,0.014635602703172195,0.009817176060529936,-0.007592336871422968,-0.0005425811712532216,0.005601942739676091,0.002761099496006054,0.0047784298856979315,0.0015613753898031904,0.0015518207366887735,-0.009027594477543519,-0.005405968951515545,0.004142707290925222,-0.00532909090811398,-0.011927949667853524,0.013796688509083672,0.007207040566698004,-0.009565402750103686,0.007876079724676856,-0.016373093554183274,-0.02254432465230797,-0.005766124371501161,-0.005488223588852887,0.005488223588852864,0.028572060102936662,-0.0005834224333573581,0.0262667533893705,0.39488392289897906,-0.464179898186212,-0.012256734407600344,0.007266267081014577,-0.0009800805487122314,-0.0045453745716421265,-0.010266257267280941,0.008032478385313764,0.2696171875984331,0.024627879392114648,0.8008113949949678,0.011925009002448127,-0.00845421224952306,0.004512986735981615,-0.012938853982477343,0.04399155546156396
gender_Male,-0.002641162731449129,-0.10651248767347467,-0.024627879392114648,0.00677245417069545,0.016889348835205178,-0.9999999999999997,1.0,0.004438458959581595,-0.005662408265257286,0.02635685396714834,0.01788660315192457,2.3622394721392265e-05,-0.039606431350506996,-0.01868978446124114,-0.0018337447762261938,-0.004512986735981672,-0.010450665751088276,-0.018568608337308817,-0.006991831701326851,0.006597621648543587,0.011009924164926755,0.0034532193206620815,0.011166519649998463,0.013310397512442822,-0.014635602703172206,-0.009817176060529896,0.007592336871422977,0.0005425811712532374,-0.005601942739676091,-0.0027610994960060656,-0.004778429885697921,-0.0015613753898032039,-0.0015518207366887863,0.009027594477543519,0.005405968951515575,-0.004142707290925211,0.005329090908113898,0.0119279496678535,-0.013796688509083702,-0.007207040566697987,0.009565402750103645,-0.007876079724676863,0.01637309355418327,0.022544324652307938,0.005766124371501157,0.00548822358885288,-0.005488223588852878,-0.02857206010293678,0.0005834224333573861,-0.02626675338937055,-0.39488392289897933,0.4641798981862122,0.012256734407600316,-0.00726626708101459,0.0009800805487121746,0.004545374571642084,0.010266257267281007,-0.008032478385313768,-0.269617187598433,-0.02462787939211465,-0.8008113949949678,-0.011925009002448058,0.008454212249523078,-0.004512986735981672,0.012938853982477348,-0.043991555461563976
age_bin_18_24,-0.008675074721434358,-0.06312271253422934,-0.020612046024801576,0.00752774211793686,0.011981436510712509,-0.004438458959581577,0.004438458959581595,1.0,-0.0801965523862811,-0.11071504510991595,-0.11987093768209901,-0.09808877849478684,-0.07069477474947018,-0.06750972749585155,-0.05156343250349385,0.013656254083385022,-0.0053619355656020174,-0.0008867895293374318,-0.005299234420386521,-0.012836162718904774,0.006016267473647702,-0.0034523854901752243,0.002886815866284252,-0.020071620248588058,0.002420916802853776,0.01322208667177489,-0.00895521664832136,0.001801623246992298,0.010096188276630176,-0.0035185083316616288,0.013517196467582274,-0.016723111158920303,-0.008506200559794636,0.0005612728295914086,-0.013241645105731885,0.012359073794405543,-0.013013899724369435,-0.013938846447647505,-0.007040024312383576,-0.008298353870929602,-0.0005334585490855568,0.005785748556295845,0.008622075970568313,0.003448622183170447,-0.006737571368282822,-0.009902865126541167,0.009902865126541168,-0.0045894812104435865,-0.012995933374012452,-0.014126002568581455,-0.07884596666951645,0.18962647798296675,-0.002483598888097739,-0.017875830411613093,0.006632430735769151,0.022685156196197938,-0.007620879343654267,0.011838460572472025,-0.041687999777995956,-0.020612046024801572,-0.06519419054974132,-0.009338005882269467,-0.008520886191532868,0.013656254083385022,-0.008927520538799014,-0.02399328757898684
age_bin_25_29,-0.005733409867647877,-0.12079639694347302,-0.015039796580150276,0.02187842699144717,-0.010236717055700735,0.005662408265257258,-0.005662408265257286,-0.0801965523862811,1.0,-0.18540910762552398,-0.20074203613256092,-0.16426451229587458,-0.11838910499538532,-0.11305526108598493,-0.0863507755164666,0.023027336722940054,-0.008979373014542496,-0.004373253791674199,-0.004034333718451524,-0.025132490160439655,0.01074597700076875,0.014793703124034224,-0.016969885139136224,-0.015935278319301128,-0.00378351108345466,0.01209035662364223,0.00461947943709004,-0.003539905566985778,-0.0010649019392556954,0.0004170960657229113,0.022794435356496393,0.0036033099619941595,-0.027393702897249704,0.005911785563626804,-0.02265663214335113,-0.0049057648262675465,-0.022731487067933324,-0.0016908663988348884,-0.017101648446695244,-0.0057803861281325855,0.021725451673170797,0.0037115306326215704,-0.004204759230493799,-0.007356554164477957,0.014048039088480072,-0.04268607326058661,0.04268607326058657,-0.007991831634437832,-0.01620549674353765,-0.02264017972819601,-0.13203951012758583,0.30142462587438484,0.01242444935512588,-0.02814671458251306,0.005741176650401663,0.045183375952129026,-0.005212488054200521,0.01322859263250689,-0.052404325441792125,-0.015039796580150271,-0.09903397950575647,-0.024713033138066193,0.0028441161019699592,0.023027336722940054,-0.01809156779456212,-0.030672537153704445
age_bin_30_34,-0.0016415583899072332,-0.15356684334683213,-0.02824975491950216,0.03532432672730921,-0.012543990737932368,-0.026356853967148264,0.02635685396714834,-0.11071504510991595,-0.18540910762552398,1.0,-0.27713365381121874,-0.22677474713872417,-0.16344162822551636,-0.15607801032091967,-0.11921123442480117,0.015424924292609103,-0.0123964392331397,-0.00018653321342195474,0.0010165704950183246,-0.0033469659303817178,-0.019705878308921017,0.0006223164633777877,0.014452017792819844,-0.024931935014933505,-0.004500625566694674,0.009756742975545766,0.006794032118814732,-0.01677972851571597,-0.0010574335322155104,0.014019103722109065,0.015106330224505617,0.00632932143235466,-0.00516582884794772,-0.015373789453907953,-0.015955918825718608,-0.004314172930299873,-0.016023957104548396,-0.012085675398469779,0.0027495774863714267,-0.0007471799484963577,-0.003601288125153246,-0.0059517618536225345,0.007284131217539916,-0.002867983792468142,0.001193268132538034,-0.023397853843312718,0.023397853843312725,-0.00037945152562302264,-0.011069380817362622,-0.027568779905220945,-0.18228664306731016,0.4582337009315473,0.015624438973967477,-0.007878101073343491,0.00208867452663075,0.02864229102296111,-0.0010288754476516187,0.005738337624544131,-0.07762420003672484,-0.02824975491950217,-0.1631921152086159,-0.014360354151200303,-0.0026945740961549797,0.015424924292609103,-0.01492495427112746,-0.053733459587505604
