,churn
composite_risk_score_scaled,0.3348617058871062
products_3_plus,0.2986365283847086
demographic_risk_score,0.28625834206672024
female_45_plus,0.27480303794525424
age_bin_50_59,0.273235627466576
engagement_risk_score,0.23888197319403878
inactive_single_product,0.23471551232862284
zero_balance_multiple_products,0.21805456249072555
has_multiple_products,0.18544672657041184
has_single_product,0.18544672657041172
age_bin_45_49,0.18461723655501497
germany_high_value,0.18328127311282175
female_high_risk,0.18173714253357143
country_Germany,0.17348787015297085
geographic_risk_score,0.17348787015297085
active_multiple_products,0.15713440399994394
is_active_member,0.15612827818890548
age_bin_30_34,0.15356684334683213
zero_balance_active,0.12825432799111064
wealth_index_scaled,0.12270014231254539
